"","x"
"1",1
"2",1
"3",1
"4",1
"5",0.99009900990099
"6",0.99009900990099
"7",0.98019801980198
"8",0.97029702970297
"9",0.97029702970297
"10",0.97029702970297
"11",0.96039603960396
"12",0.96039603960396
"13",0.96039603960396
"14",0.95049504950495
"15",0.95049504950495
"16",0.95049504950495
"17",0.95049504950495
"18",0.95049504950495
"19",0.95049504950495
"20",0.94059405940594
"21",0.930693069306931
"22",0.930693069306931
"23",0.930693069306931
"24",0.930693069306931
"25",0.920792079207921
"26",0.910891089108911
"27",0.900990099009901
"28",0.900990099009901
"29",0.900990099009901
"30",0.900990099009901
"31",0.900990099009901
"32",0.900990099009901
"33",0.900990099009901
"34",0.900990099009901
"35",0.900990099009901
"36",0.891089108910891
"37",0.891089108910891
"38",0.891089108910891
"39",0.881188118811881
"40",0.871287128712871
"41",0.871287128712871
"42",0.871287128712871
"43",0.871287128712871
"44",0.871287128712871
"45",0.861386138613861
"46",0.851485148514851
"47",0.851485148514851
"48",0.851485148514851
"49",0.841584158415842
"50",0.841584158415842
"51",0.831683168316832
"52",0.831683168316832
"53",0.821782178217822
"54",0.821782178217822
"55",0.821782178217822
"56",0.821782178217822
"57",0.821782178217822
"58",0.811881188118812
"59",0.811881188118812
"60",0.801980198019802
"61",0.792079207920792
"62",0.792079207920792
"63",0.782178217821782
"64",0.782178217821782
"65",0.782178217821782
"66",0.782178217821782
"67",0.782178217821782
"68",0.772277227722772
"69",0.762376237623762
"70",0.762376237623762
"71",0.752475247524752
"72",0.752475247524752
"73",0.752475247524752
"74",0.752475247524752
"75",0.752475247524752
"76",0.742574257425743
"77",0.742574257425743
"78",0.742574257425743
"79",0.742574257425743
"80",0.742574257425743
"81",0.742574257425743
"82",0.742574257425743
"83",0.732673267326733
"84",0.732673267326733
"85",0.732673267326733
"86",0.722772277227723
"87",0.722772277227723
"88",0.712871287128713
"89",0.712871287128713
"90",0.702970297029703
"91",0.693069306930693
"92",0.693069306930693
"93",0.693069306930693
"94",0.693069306930693
"95",0.693069306930693
"96",0.693069306930693
"97",0.693069306930693
"98",0.683168316831683
"99",0.673267326732673
"100",0.663366336633663
"101",0.653465346534653
"102",0.653465346534653
"103",0.643564356435644
"104",0.643564356435644
"105",0.643564356435644
"106",0.643564356435644
"107",0.643564356435644
"108",0.643564356435644
"109",0.633663366336634
"110",0.623762376237624
"111",0.623762376237624
"112",0.613861386138614
"113",0.613861386138614
"114",0.603960396039604
"115",0.603960396039604
"116",0.603960396039604
"117",0.603960396039604
"118",0.594059405940594
"119",0.594059405940594
"120",0.594059405940594
"121",0.594059405940594
"122",0.584158415841584
"123",0.584158415841584
"124",0.574257425742574
"125",0.574257425742574
"126",0.574257425742574
"127",0.564356435643564
"128",0.564356435643564
"129",0.564356435643564
"130",0.554455445544555
"131",0.554455445544555
"132",0.544554455445545
"133",0.534653465346535
"134",0.534653465346535
"135",0.534653465346535
"136",0.534653465346535
"137",0.534653465346535
"138",0.524752475247525
"139",0.514851485148515
"140",0.504950495049505
"141",0.504950495049505
"142",0.495049504950495
"143",0.495049504950495
"144",0.495049504950495
"145",0.485148514851485
"146",0.475247524752475
"147",0.465346534653465
"148",0.465346534653465
"149",0.455445544554455
"150",0.455445544554455
"151",0.445544554455446
"152",0.445544554455446
"153",0.435643564356436
"154",0.435643564356436
"155",0.425742574257426
"156",0.415841584158416
"157",0.415841584158416
"158",0.405940594059406
"159",0.405940594059406
"160",0.396039603960396
"161",0.386138613861386
"162",0.386138613861386
"163",0.386138613861386
"164",0.376237623762376
"165",0.366336633663366
"166",0.366336633663366
"167",0.366336633663366
"168",0.366336633663366
"169",0.366336633663366
"170",0.356435643564356
"171",0.346534653465347
"172",0.346534653465347
"173",0.346534653465347
"174",0.336633663366337
"175",0.336633663366337
"176",0.336633663366337
"177",0.336633663366337
"178",0.326732673267327
"179",0.326732673267327
"180",0.316831683168317
"181",0.316831683168317
"182",0.316831683168317
"183",0.306930693069307
"184",0.306930693069307
"185",0.306930693069307
"186",0.297029702970297
"187",0.297029702970297
"188",0.287128712871287
"189",0.277227722772277
"190",0.277227722772277
"191",0.277227722772277
"192",0.277227722772277
"193",0.277227722772277
"194",0.267326732673267
"195",0.267326732673267
"196",0.267326732673267
"197",0.257425742574257
"198",0.257425742574257
"199",0.257425742574257
"200",0.247524752475248
"201",0.247524752475248
"202",0.237623762376238
"203",0.237623762376238
"204",0.237623762376238
"205",0.237623762376238
"206",0.237623762376238
"207",0.227722772277228
"208",0.217821782178218
"209",0.217821782178218
"210",0.217821782178218
"211",0.207920792079208
"212",0.207920792079208
"213",0.207920792079208
"214",0.198019801980198
"215",0.188118811881188
"216",0.178217821782178
"217",0.168316831683168
"218",0.168316831683168
"219",0.168316831683168
"220",0.158415841584158
"221",0.148514851485149
"222",0.138613861386139
"223",0.128712871287129
"224",0.128712871287129
"225",0.118811881188119
"226",0.108910891089109
"227",0.108910891089109
"228",0.099009900990099
"229",0.099009900990099
"230",0.099009900990099
"231",0.099009900990099
"232",0.099009900990099
"233",0.0891089108910891
"234",0.0792079207920792
"235",0.0693069306930693
"236",0.0693069306930693
"237",0.0693069306930693
"238",0.0594059405940594
"239",0.0495049504950495
"240",0.0495049504950495
"241",0.0396039603960396
"242",0.0297029702970297
"243",0.0297029702970297
"244",0.0198019801980198
"245",0.0099009900990099
"246",0
